-0.10,15.50,4419
-0.10,14.20,4434
-0.10,12.20,4280
-0.20,13.40,4185
0.00,16.90,4250
0.20,18.30,4522
0.00,17.60,4067
0.00,14.40,4126
0.00,19.40,4263
-0.10,10.70,4213
0.00,14.10,4555
0.00,18.00,4450
-0.20,16.10,4244
0.00,14.10,4136
-0.10,15.20,4468
-0.10,15.50,4271
0.00,18.20,4297
0.00,13.90,4466
0.00,12.40,4531
-0.30,20.50,4157
0.00,17.90,4344
0.00,14.20,4359
0.00,16.10,4431
0.00,14.80,4371
0.00,13.40,4480
0.00,14.10,4557
0.00,13.20,4301
-0.10,13.60,4700
0.00,13.00,4346
-0.10,12.60,4322
0.00,18.50,4354
0.10,15.60,4290
0.00,15.30,4282
-0.10,11.70,4027
-0.10,16.40,4514
0.00,17.00,4422
0.00,11.40,4472
-0.10,15.10,4274
0.00,16.20,4455
0.00,17.40,4322
-0.10,17.00,4219
0.00,17.00,4360
-0.10,10.80,4694
0.00,11.60,4427
-0.10,15.60,3917
0.00,10.40,4265
0.00,11.70,4569
-0.10,15.90,4379
-0.20,19.30,4314
