-0.10,34.40,6543
-0.10,11.70,4454
0.00,21.70,5285
0.00,24.10,5238
-0.10,18.70,5097
-0.10,14.70,4457
-0.10,16.00,4209
0.00,13.40,4570
-0.10,14.40,4251
-0.30,15.80,4068
-0.20,11.90,3979
0.00,11.70,3334
0.00,17.90,4659
-0.10,13.50,4235
0.00,26.80,9047
-0.10,19.60,4883
-0.20,18.00,4118
-0.10,25.40,5442
0.00,16.10,4788
0.00,28.80,9878
-0.10,35.10,7649
-0.10,20.00,4536
0.00,10.70,3113
0.00,16.70,3237
0.00,15.30,6409
-0.10,17.50,3299
-0.10,15.70,4215
0.00,6.50,2590
0.00,13.00,5013
0.00,19.90,4384
-0.10,18.50,3626
-0.10,18.70,4416
-0.20,16.40,3595
0.00,29.00,8145
-0.10,23.60,4683
0.00,0.00,38
0.00,28.10,5975
-0.10,15.70,2356
0.00,20.70,4487
0.00,17.70,4525
0.30,3.00,1015
0.00,18.60,7301
-0.10,32.40,6624
-0.10,5.50,1332
-0.10,13.90,4371
-0.10,18.50,7661
-0.10,20.60,5687
-0.10,30.60,8419
0.00,24.80,4226
0.00,12.40,4353
0.00,2.70,1260
0.00,9.60,2350
0.00,15.60,3167
0.00,20.50,4685
0.00,1.30,618
0.00,14.40,3779
0.00,28.50,7517
0.00,22.00,6944
-0.10,19.40,4696
-0.20,7.60,1839
0.00,47.00,10041
0.00,17.30,4626
0.00,25.30,7294
0.00,15.30,5230
0.10,0.90,419
-0.10,15.20,4511
0.10,2.10,443
-0.10,22.30,5181
-0.10,13.10,4667
0.30,0.60,274
0.00,20.80,6506
-0.10,53.10,12114
0.00,36.40,9158
0.00,19.60,4904
0.10,2.00,444
-0.10,34.10,9627
0.00,14.00,4744
0.00,4.20,1146
-0.10,24.50,5445
0.00,22.80,5511
0.00,24.20,8476
0.00,17.60,4774
-0.10,3.70,904
0.10,22.80,5532
0.00,17.30,4901
-0.10,6.20,3678
0.00,4.30,1104
0.00,16.90,5754
0.00,16.50,4461
0.00,1.90,344
0.00,29.30,6957
-0.10,20.10,5617
-0.10,21.40,5729
0.00,27.30,5800
0.00,31.80,8170
-0.20,19.50,4215
0.20,2.60,580
0.00,30.10,8390
0.00,19.90,4671
-0.30,1.60,656
0.00,16.40,5068
0.00,25.20,6781
0.00,21.90,9181
-0.10,14.70,4428
0.10,1.10,549
0.00,13.90,3384
-0.10,36.00,11331
